Name,Accuracy testing (%),Accuracy predict (%),Time predict (s),Size (MB)
ResNet,98.66071428571428,97.00125,0.2039920176001032,89
ResNet18,97.32142857142857,99.88189339637756,0.17811627175001377,42
MobileNetV2,98.66071428571429,99.92305636405945,0.1709747097499985,8
